"ID","Sources","Emissions","Periods","EmissionsDutchTerritory_1"
"201","A025421","A044118","2005JJ00","    63.7"
"202","A025421","A044118","2006JJ00","    61.2"
"203","A025421","A044118","2007JJ00","    57.6"
"204","A025421","A044118","2008JJ00","    56.5"
"205","A025421","A044118","2009JJ00","    53.9"
"206","A025421","A044118","2010JJ00","    51.3"
"207","A025421","A044118","2011JJ00","    49.5"
"208","A025421","A044118","2012JJ00","    47.2"
"209","A025421","A044118","2013JJ00","    45.1"
"210","A025421","A044118","2014JJ00","    42.7"
"211","A025421","A044118","2015JJ00","    41.9"
"212","A025421","A044118","2016JJ00","    40.6"
"213","A025421","A044118","2017JJ00","    39.9"
"214","A025421","A044118","2018JJ00","    38.9"
"215","A025421","A044118","2019JJ00","    38.1"
"216","A025421","A044118","2020JJ00","    37.2"
"217","A025421","A044112","1990JJ00","   424.4"
"218","A025421","A044112","1991JJ00","   408.8"
"219","A025421","A044112","1992JJ00","   403.9"
"220","A025421","A044112","1993JJ00","   389.2"
"221","A025421","A044112","1994JJ00","   376.9"
"222","A025421","A044112","1995JJ00","   368.1"
"223","A025421","A044112","1996JJ00","   361.3"
"224","A025421","A044112","1997JJ00","   360.0"
"225","A025421","A044112","1998JJ00","   352.8"
"226","A025421","A044112","1999JJ00","   360.0"
"227","A025421","A044112","2000JJ00","   355.6"
"228","A025421","A044112","2001JJ00","   351.1"
"229","A025421","A044112","2002JJ00","   342.0"
"230","A025421","A044112","2003JJ00","   338.2"
"231","A025421","A044112","2004JJ00","   335.1"
"232","A025421","A044112","2005JJ00","   332.5"
"233","A025421","A044112","2006JJ00","   333.1"
"234","A025421","A044112","2007JJ00","   321.3"
"235","A025421","A044112","2008JJ00","   303.5"
"236","A025421","A044112","2009JJ00","   286.0"
"237","A025421","A044112","2010JJ00","   278.0"
"238","A025421","A044112","2011JJ00","   275.5"
"239","A025421","A044112","2012JJ00","   260.7"
"240","A025421","A044112","2013JJ00","   244.2"
"241","A025421","A044112","2014JJ00","   247.4"
"242","A025421","A044112","2015JJ00","   251.8"
"243","A025421","A044112","2016JJ00","   246.7"
"244","A025421","A044112","2017JJ00","   239.4"
"245","A025421","A044112","2018JJ00","   238.5"
"246","A025421","A044112","2019JJ00","   234.7"
"247","A025421","A044112","2020JJ00","   220.6"
"248","A025421","A044110","1990JJ00","     0.5"
"249","A025421","A044110","1991JJ00","     0.6"
"250","A025421","A044110","1992JJ00","     0.7"
"251","A025421","A044110","1993JJ00","     0.8"
"252","A025421","A044110","1994JJ00","     0.9"
"253","A025421","A044110","1995JJ00","     1.0"
"254","A025421","A044110","1996JJ00","     1.0"
"255","A025421","A044110","1997JJ00","     1.0"
"256","A025421","A044110","1998JJ00","     1.0"
"257","A025421","A044110","1999JJ00","     1.1"
"258","A025421","A044110","2000JJ00","     1.1"
"259","A025421","A044110","2001JJ00","     1.1"
"260","A025421","A044110","2002JJ00","     1.1"
"261","A025421","A044110","2003JJ00","     1.1"
"262","A025421","A044110","2004JJ00","     1.0"
"263","A025421","A044110","2005JJ00","     1.0"
"264","A025421","A044110","2006JJ00","     1.0"
"265","A025421","A044110","2007JJ00","     1.0"
"266","A025421","A044110","2008JJ00","     1.0"
"267","A025421","A044110","2009JJ00","     1.0"
"268","A025421","A044110","2010JJ00","     1.0"
"269","A025421","A044110","2011JJ00","     1.0"
"270","A025421","A044110","2012JJ00","     1.0"
"271","A025421","A044110","2013JJ00","     0.9"
"272","A025421","A044110","2014JJ00","     1.0"
"273","A025421","A044110","2015JJ00","     1.0"
"274","A025421","A044110","2016JJ00","     1.2"
"275","A025421","A044110","2017JJ00","     1.4"
"276","A025421","A044110","2018JJ00","     1.6"
"277","A025421","A044110","2019JJ00","     1.6"
"278","A025421","A044110","2020JJ00","     1.4"
"279","A025421","A044114","1990JJ00","    71.7"
"280","A025421","A044114","1991JJ00","    68.6"
"281","A025421","A044114","1992JJ00","    70.4"
"282","A025421","A044114","1993JJ00","    71.6"
"283","A025421","A044114","1994JJ00","    72.3"
"284","A025421","A044114","1995JJ00","    72.7"
"285","A025421","A044114","1996JJ00","    71.2"
"286","A025421","A044114","1997JJ00","    69.5"
"287","A025421","A044114","1998JJ00","    71.7"
"288","A025421","A044114","1999JJ00","    74.5"
"289","A025421","A044114","2000JJ00","    75.9"
"290","A025421","A044114","2001JJ00","    73.1"
"291","A025421","A044114","2002JJ00","    71.9"
"292","A025421","A044114","2003JJ00","    70.8"
"293","A025421","A044114","2004JJ00","    68.1"
"294","A025421","A044114","2005JJ00","    70.7"
"295","A025421","A044114","2006JJ00","    73.5"
"296","A025421","A044114","2007JJ00","    65.9"
"297","A025421","A044114","2008JJ00","    44.7"
"298","A025421","A044114","2009JJ00","    42.2"
"299","A025421","A044114","2010JJ00","    37.0"
"300","A025421","A044114","2011JJ00","    26.6"
"301","A025421","A044114","2012JJ00","    24.6"
"302","A025421","A044114","2013JJ00","    22.7"
"303","A025421","A044114","2014JJ00","    24.0"
"304","A025421","A044114","2015JJ00","    12.5"
"305","A025421","A044114","2016JJ00","     6.0"
"306","A025421","A044114","2017JJ00","     5.7"
"307","A025421","A044114","2018JJ00","     5.2"
"308","A025421","A044114","2019JJ00","     4.8"
"309","A025421","A044114","2020JJ00","     4.6"
"310","A025421","A044113","1990JJ00","    29.1"
"311","A025421","A044113","1991JJ00","    27.9"
"312","A025421","A044113","1992JJ00","    27.6"
"313","A025421","A044113","1993JJ00","    26.6"
"314","A025421","A044113","1994JJ00","    25.8"
"315","A025421","A044113","1995JJ00","    25.0"
"316","A025421","A044113","1996JJ00","    24.2"
"317","A025421","A044113","1997JJ00","    23.9"
"318","A025421","A044113","1998JJ00","    23.4"
"319","A025421","A044113","1999JJ00","    23.9"
"320","A025421","A044113","2000JJ00","    23.6"
"321","A025421","A044113","2001JJ00","    23.0"
"322","A025421","A044113","2002JJ00","    22.0"
"323","A025421","A044113","2003JJ00","    21.3"
"324","A025421","A044113","2004JJ00","    20.6"
"325","A025421","A044113","2005JJ00","    20.4"
"326","A025421","A044113","2006JJ00","    20.2"
"327","A025421","A044113","2007JJ00","    18.9"
"328","A025421","A044113","2008JJ00","    16.9"
"329","A025421","A044113","2009JJ00","    15.9"
"330","A025421","A044113","2010JJ00","    14.7"
"331","A025421","A044113","2011JJ00","    13.2"
"332","A025421","A044113","2012JJ00","    12.3"
"333","A025421","A044113","2013JJ00","    11.4"
"334","A025421","A044113","2014JJ00","    11.3"
"335","A025421","A044113","2015JJ00","    10.5"
"336","A025421","A044113","2016JJ00","     9.4"
"337","A025421","A044113","2017JJ00","     9.0"
"338","A025421","A044113","2018JJ00","     9.0"
"339","A025421","A044113","2019JJ00","     8.8"
"340","A025421","A044113","2020JJ00","     8.0"
"341","A049055","A044109","1990JJ00"," 26995.0"
"342","A049055","A044109","1991JJ00"," 26796.0"
"343","A049055","A044109","1992JJ00"," 27995.0"
"344","A049055","A044109","1993JJ00"," 27955.0"
"345","A049055","A044109","1994JJ00"," 28278.0"
"346","A049055","A044109","1995JJ00"," 28497.0"
"347","A049055","A044109","1996JJ00"," 28735.0"
"348","A049055","A044109","1997JJ00"," 29608.0"
"349","A049055","A044109","1998JJ00"," 29922.0"
"350","A049055","A044109","1999JJ00"," 31167.0"
"351","A049055","A044109","2000JJ00"," 31630.0"
"352","A049055","A044109","2001JJ00"," 32018.0"
"353","A049055","A044109","2002JJ00"," 32379.0"
"354","A049055","A044109","2003JJ00"," 32817.0"
"355","A049055","A044109","2004JJ00"," 33390.0"
"356","A049055","A044109","2005JJ00"," 33327.0"
"357","A049055","A044109","2006JJ00"," 33429.0"
"358","A049055","A044109","2007JJ00"," 33942.0"
"359","A049055","A044109","2008JJ00"," 34208.0"
"360","A049055","A044109","2009JJ00"," 33578.0"
"361","A049055","A044109","2010JJ00"," 33747.0"
"362","A049055","A044109","2011JJ00"," 33863.0"
"363","A049055","A044109","2012JJ00"," 33824.0"
"364","A049055","A044109","2013JJ00"," 33058.0"
"365","A049055","A044109","2014JJ00"," 33127.0"
"366","A049055","A044109","2015JJ00"," 33740.0"
"367","A049055","A044109","2016JJ00"," 33642.0"
"368","A049055","A044109","2017JJ00"," 33183.0"
"369","A049055","A044109","2018JJ00"," 33359.0"
"370","A049055","A044109","2019JJ00"," 33293.0"
"371","A049055","A044109","2020JJ00"," 29098.0"
"372","A049055","A044108","1990JJ00","   736.7"
"373","A049055","A044108","1991JJ00","   640.2"
"374","A049055","A044108","1992JJ00","   616.1"
"375","A049055","A044108","1993JJ00","   570.7"
"376","A049055","A044108","1994JJ00","   537.1"
"377","A049055","A044108","1995JJ00","   516.3"
"378","A049055","A044108","1996JJ00","   500.3"
"379","A049055","A044108","1997JJ00","   475.9"
"380","A049055","A044108","1998JJ00","   454.5"
"381","A049055","A044108","1999JJ00","   445.4"
"382","A049055","A044108","2000JJ00","   429.4"
"383","A049055","A044108","2001JJ00","   428.2"
"384","A049055","A044108","2002JJ00","   432.6"
"385","A049055","A044108","2003JJ00","   435.2"
"386","A049055","A044108","2004JJ00","   436.2"
"387","A049055","A044108","2005JJ00","   422.2"
"388","A049055","A044108","2006JJ00","   412.1"
"389","A049055","A044108","2007JJ00","   404.1"
"390","A049055","A044108","2008JJ00","   396.0"
"391","A049055","A044108","2009JJ00","   390.5"
"392","A049055","A044108","2010JJ00","   387.6"
"393","A049055","A044108","2011JJ00","   382.5"
"394","A049055","A044108","2012JJ00","   374.2"
"395","A049055","A044108","2013JJ00","   362.9"
"396","A049055","A044108","2014JJ00","   354.7"
"397","A049055","A044108","2015JJ00","   348.3"
"398","A049055","A044108","2016JJ00","   372.5"
"399","A049055","A044108","2017JJ00","   392.5"
"400","A049055","A044108","2018JJ00","   422.1"
"401","A049055","A044108","2019JJ00","   419.9"
"402","A049055","A044108","2020JJ00","   358.9"
"403","A049055","A044116","1990JJ00","   163.2"
"404","A049055","A044116","1991JJ00","   137.8"
"405","A049055","A044116","1992JJ00","   129.9"
"406","A049055","A044116","1993JJ00","   118.6"
"407","A049055","A044116","1994JJ00","   110.0"
"408","A049055","A044116","1995JJ00","   102.7"
"409","A049055","A044116","1996JJ00","    96.2"
"410","A049055","A044116","1997JJ00","    89.0"
"411","A049055","A044116","1998JJ00","    82.9"
"412","A049055","A044116","1999JJ00","    77.7"
"413","A049055","A044116","2000JJ00","    68.3"
"414","A049055","A044116","2001JJ00","    63.3"
"415","A049055","A044116","2002JJ00","    59.6"
"416","A049055","A044116","2003JJ00","    56.5"
"417","A049055","A044116","2004JJ00","    54.2"
"418","A049055","A044116","2005JJ00","    51.5"
"419","A049055","A044116","2006JJ00","    49.3"
"420","A049055","A044116","2007JJ00","    46.8"
"421","A049055","A044116","2008JJ00","    46.5"
"422","A049055","A044116","2009JJ00","    44.4"
"423","A049055","A044116","2010JJ00","    42.4"
"424","A049055","A044116","2011JJ00","    40.7"
"425","A049055","A044116","2012JJ00","    38.8"
"426","A049055","A044116","2013JJ00","    37.0"
"427","A049055","A044116","2014JJ00","    35.3"
"428","A049055","A044116","2015JJ00","    34.6"
"429","A049055","A044116","2016JJ00","    33.4"
"430","A049055","A044116","2017JJ00","    32.8"
"431","A049055","A044116","2018JJ00","    31.9"
"432","A049055","A044116","2019JJ00","    31.1"
"433","A049055","A044116","2020JJ00","    31.5"
"434","A049055","A044117","1990JJ00","    39.8"
"435","A049055","A044117","1991JJ00","    36.3"
"436","A049055","A044117","1992JJ00","    33.8"
"437","A049055","A044117","1993JJ00","    32.4"
"438","A049055","A044117","1994JJ00","    30.5"
"439","A049055","A044117","1995JJ00","    26.5"
"440","A049055","A044117","1996JJ00","    23.2"
"441","A049055","A044117","1997JJ00","    21.0"
"442","A049055","A044117","1998JJ00","    18.5"
"443","A049055","A044117","1999JJ00","    16.4"
"444","A049055","A044117","2000JJ00","    13.4"
"445","A049055","A044117","2001JJ00","    11.9"
"446","A049055","A044117","2002JJ00","     9.6"
"447","A049055","A044117","2003JJ00","     8.3"
"448","A049055","A044117","2004JJ00","     7.2"
"449","A049055","A044117","2005JJ00","     6.1"
"450","A049055","A044117","2006JJ00","     6.0"
"451","A049055","A044117","2007JJ00","     5.5"
"452","A049055","A044117","2008JJ00","     5.3"
"453","A049055","A044117","2009JJ00","     5.0"
"454","A049055","A044117","2010JJ00","     5.0"
"455","A049055","A044117","2011JJ00","     4.9"
"456","A049055","A044117","2012JJ00","     4.9"
"457","A049055","A044117","2013JJ00","     4.9"
"458","A049055","A044117","2014JJ00","     4.0"
"459","A049055","A044117","2015JJ00","     4.1"
"460","A049055","A044117","2016JJ00","     4.3"
"461","A049055","A044117","2017JJ00","     4.5"
"462","A049055","A044117","2018JJ00","     4.4"
"463","A049055","A044117","2019JJ00","     4.5"
