"ID";"ClassOfVehicleAge";"Periods";"TotalRoadVehicles_1";"PassengerCar_2";"TotalCommercialVehicles_3";"TotalCommercialMotorVehicles_4";"DeliveryVan_5";"Lorry_6";"RoadTractor_7";"SpecialPurposeVehicle_8";"Bus_9";"TotalTrailersAndSemiTrailers_10";"Trailer_11";"SemiTrailer_12";"Motorcycle_13"
"218";"70500  ";"2020JJ00";"  660188";"  378048";"  186408";"   40705";"   24610";"    3095";"    1200";"   11579";"     221";"  145703";"  136466";"    9237";"   95732"
"219";"70500  ";"2021JJ00";"  757285";"  454721";"  200510";"   45747";"   29173";"    3302";"    1192";"   11873";"     207";"  154763";"  144905";"    9858";"  102054"
"220";"20700  ";"2000JJ00";"  164508";"  121118";"   10480";"   10480";"    4904";"    2370";"     216";"    2723";"     267";"";"";"";"   32910"
"221";"20700  ";"2001JJ00";"  185972";"  135933";"   11766";"   11766";"    5560";"    2553";"     255";"    3110";"     288";"";"";"";"   38273"
"222";"20700  ";"2002JJ00";"  207716";"  148471";"   13630";"   13630";"    6654";"    2794";"     293";"    3568";"     321";"";"";"";"   45615"
"223";"20700  ";"2003JJ00";"  233863";"  162119";"   15951";"   15951";"    8051";"    3053";"     362";"    4101";"     384";"";"";"";"   55793"
"224";"20700  ";"2004JJ00";"  300914";"  173807";"   60577";"   18106";"    9305";"    3255";"     396";"    4714";"     436";"   42471";"   37614";"    4857";"   66530"
"225";"20700  ";"2005JJ00";"  339713";"  186290";"   77303";"   20180";"   10520";"    3450";"     470";"    5256";"     484";"   57123";"   51888";"    5235";"   76120"
"226";"20700  ";"2006JJ00";"  373798";"  195542";"   92258";"   22133";"   11684";"    3632";"     544";"    5736";"     537";"   70125";"   64539";"    5586";"   85998"
"227";"20700  ";"2007JJ00";"  401299";"  204067";"  102116";"   23539";"   12657";"    3655";"     585";"    6051";"     591";"   78577";"   73388";"    5189";"   95116"
"228";"20700  ";"2008JJ00";"  434015";"  215634";"  111180";"   25052";"   13638";"    3686";"     617";"    6484";"     627";"   86128";"   81094";"    5034";"  107201"
"229";"20700  ";"2009JJ00";"  475390";"  232974";"  122086";"   27119";"   14962";"    3841";"     658";"    7087";"     571";"   94967";"   89947";"    5020";"  120330"
"230";"20700  ";"2010JJ00";"  517977";"  249876";"  134806";"   29425";"   16642";"    3999";"     731";"    7506";"     547";"  105381";"  100177";"    5204";"  133295"
"231";"20700  ";"2011JJ00";"  569569";"  270726";"  149753";"   32280";"   18739";"    4239";"     819";"    8007";"     476";"  117473";"  112221";"    5252";"  149090"
"232";"20700  ";"2012JJ00";"  638083";"  304109";"  167497";"   35970";"   21299";"    4600";"     918";"    8684";"     469";"  131527";"  126042";"    5485";"  166477"
"233";"20700  ";"2013JJ00";"  683771";"  320260";"  186030";"   38905";"   23093";"    4926";"     990";"    9422";"     474";"  147125";"  141368";"    5757";"  177481"
"234";"20700  ";"2014JJ00";"  700191";"  311638";"  204188";"   39891";"   22982";"    5243";"    1040";"   10123";"     503";"  164297";"  158146";"    6151";"  184365"
"235";"20700  ";"2015JJ00";"  708713";"  297652";"  223769";"   40342";"   22389";"    5512";"    1120";"   10805";"     516";"  183427";"  176646";"    6781";"  187292"
"236";"20700  ";"2016JJ00";"  732716";"  295797";"  245321";"   41590";"   22358";"    5718";"    1204";"   11800";"     510";"  203731";"  196416";"    7315";"  191598"
"237";"20700  ";"2017JJ00";"  768615";"  300669";"  268929";"   44618";"   23336";"    5923";"    1300";"   13550";"     509";"  224311";"  216501";"    7810";"  199017"
"238";"20700  ";"2018JJ00";"  810581";"  309509";"  292035";"   48005";"   24668";"    6135";"    1396";"   15309";"     497";"  244030";"  235559";"    8471";"  209037"
"239";"20700  ";"2019JJ00";"  839431";"  316572";"  306721";"   50552";"   25917";"    6105";"    1466";"   16562";"     502";"  256169";"  247436";"    8733";"  216138"
"240";"20700  ";"2020JJ00";"  880453";"  326310";"  326178";"   52010";"   26537";"    6103";"    1579";"   17283";"     508";"  274168";"  265147";"    9021";"  227965"
"241";"20700  ";"2021JJ00";"  925390";"  343142";"  340830";"   55107";"   27801";"    6127";"    1687";"   19016";"     476";"  285723";"  276597";"    9126";"  241418"
