,year,gas,emission
1246,1996,NOx,86.2
1247,1997,NOx,79.5
1248,1998,NOx,73.8
1249,1999,NOx,70.1
1250,2000,NOx,63.0
1251,2001,NOx,57.5
1252,2002,NOx,53.1
1253,2003,NOx,49.5
1254,2004,NOx,46.9
1255,2005,NOx,44.7
1256,2006,NOx,43.2
1257,2007,NOx,41.9
1258,2008,NOx,39.6
1259,2009,NOx,37.3
1260,2010,NOx,35.0
1261,2011,NOx,32.8
1262,2012,NOx,30.7
1263,2013,NOx,30.4
1264,2014,NOx,30.2
1265,2015,NOx,30.5
1266,2016,NOx,30.4
1267,2017,NOx,29.6
1268,2018,NOx,29.1
1269,2019,NOx,27.2
1270,2020,NOx,20.4
1271,1990,N2O,0.2
1272,1991,N2O,0.3
1273,1992,N2O,0.4
1274,1993,N2O,0.5
1275,1994,N2O,0.6
1276,1995,N2O,0.6
1277,1996,N2O,0.6
1278,1997,N2O,0.7
1279,1998,N2O,0.7
1280,1999,N2O,0.7
1281,2000,N2O,0.7
1282,2001,N2O,0.7
1283,2002,N2O,0.7
1284,2003,N2O,0.7
1285,2004,N2O,0.6
1286,2005,N2O,0.6
1287,2006,N2O,0.6
1288,2007,N2O,0.5
1289,2008,N2O,0.5
1290,2009,N2O,0.5
1291,2010,N2O,0.4
1292,2011,N2O,0.4
1293,2012,N2O,0.4
1294,2013,N2O,0.4
1295,2014,N2O,0.3
1296,2015,N2O,0.3
1297,2016,N2O,0.5
1298,2017,N2O,0.7
1299,2018,N2O,0.8
1300,2019,N2O,0.9
1301,2020,N2O,0.7
1302,1990,SO2,4.6
1303,1991,SO2,4.5
1304,1992,SO2,4.5
1305,1993,SO2,4.2
1306,1994,SO2,4.0
1307,1995,SO2,3.6
1308,1996,SO2,2.7
1309,1997,SO2,1.5
1310,1998,SO2,1.6
1311,1999,SO2,1.7
1312,2000,SO2,1.3
1313,2001,SO2,0.5
1314,2002,SO2,0.5
1315,2003,SO2,0.3
1316,2004,SO2,0.3
1317,2005,SO2,0.2
1318,2006,SO2,0.2
1319,2007,SO2,0.2
1320,2008,SO2,0.1
1321,2009,SO2,0.1
1322,2010,SO2,0.1
1323,2011,SO2,0.1
1324,2012,SO2,0.1
1325,2013,SO2,0.1
1326,2014,SO2,0.1
1327,2015,SO2,0.1
1328,2016,SO2,0.1
1329,2017,SO2,0.1
1330,2018,SO2,0.1
1331,2019,SO2,0.1
1332,2020,SO2,0.1
1333,1990,PM10,6.9
1334,1991,PM10,6.2
1335,1992,PM10,6.0
1336,1993,PM10,5.5
1337,1994,PM10,5.3
1338,1995,PM10,5.0
1339,1996,PM10,4.8
1340,1997,PM10,4.6
1341,1998,PM10,4.5
1342,1999,PM10,4.5
1343,2000,PM10,4.4
1344,2001,PM10,4.2
1345,2002,PM10,4.0
1346,2003,PM10,3.9
1347,2004,PM10,3.8
1348,2005,PM10,3.7
1349,2006,PM10,3.6
1350,2007,PM10,3.6
1351,2008,PM10,3.4
1352,2009,PM10,3.2
1353,2010,PM10,3.0
1354,2011,PM10,2.8
1355,2012,PM10,2.7
1356,2013,PM10,2.5
1357,2014,PM10,2.4
1358,2015,PM10,2.3
1359,2016,PM10,2.3
1360,2017,PM10,2.3
1361,2018,PM10,2.3
1362,2019,PM10,2.2
1363,2020,PM10,1.8
