year;fuel_type;emission
1912;flaring;0
1913;flaring;0
1914;flaring;0
1915;flaring;0
1916;flaring;0
1917;flaring;0
1918;flaring;0
1919;flaring;0
1920;flaring;0
1921;flaring;0
1922;flaring;0
1923;flaring;0
1924;flaring;0
1925;flaring;0
1926;flaring;0
1927;flaring;0
1928;flaring;0
1929;flaring;0
1930;flaring;0
1931;flaring;0
1932;flaring;0
1933;flaring;0
1934;flaring;0
1935;flaring;0
1936;flaring;0
1937;flaring;0
1938;flaring;0
1939;flaring;0
1940;flaring;0
1941;flaring;0
1942;flaring;0
1943;flaring;0
1944;flaring;0
1945;flaring;0
1946;flaring;0
1947;flaring;0
1948;flaring;0
1949;flaring;0
1950;flaring;0
1951;flaring;0
1952;flaring;0
1953;flaring;0
1954;flaring;0
1955;flaring;0
1956;flaring;0
1957;flaring;0
1958;flaring;0
1959;flaring;0
1960;flaring;0
1961;flaring;0
1962;flaring;0
1963;flaring;0
1964;flaring;0
1965;flaring;0
1966;flaring;0
1967;flaring;0
1968;flaring;0
1969;flaring;80608
1970;flaring;91598
1971;flaring;95264
1972;flaring;58624
1973;flaring;32976
1974;flaring;36640
1975;flaring;43968
1976;flaring;43968
1977;flaring;40305
1978;flaring;32976
1979;flaring;21984
1980;flaring;29313
1981;flaring;47632
1982;flaring;47631
1983;flaring;47632
1984;flaring;76944
1985;flaring;91602
1986;flaring;219840
1987;flaring;164880
1988;flaring;117248
1989;flaring;249152
1990;flaring;885069
1991;flaring;818530
1992;flaring;751999
1993;flaring;685476
1994;flaring;619396
1995;flaring;552218
1996;flaring;496063
1997;flaring;605919
1998;flaring;418615
1999;flaring;308082
2000;flaring;351173
2001;flaring;254374
2002;flaring;1202153
2003;flaring;1126542
2004;flaring;1080350
2005;flaring;1161350
2006;flaring;1147247
2007;flaring;1210913
2008;flaring;999787
2009;flaring;1126938
2010;flaring;1134279
2011;flaring;976545
2012;flaring;863750
2013;flaring;1137257
2014;flaring;1091804
2015;flaring;1036937
2016;flaring;1099001
2017;flaring;1118338
2018;flaring;1104433
2019;flaring;1064698
2020;flaring;1049261
1851;oil;0
1852;oil;0
1853;oil;0
1854;oil;0
1855;oil;0
1856;oil;0
1857;oil;0
1858;oil;0
1859;oil;0
1860;oil;0
1861;oil;0
1862;oil;0
1863;oil;10992
1864;oil;25648
1865;oil;18320
1866;oil;29312
1867;oil;36640
1868;oil;47632
1869;oil;47632
1870;oil;54960
1871;oil;62288
1872;oil;65952
1873;oil;84332
1874;oil;88004
1875;oil;102661
1876;oil;102592
1877;oil;124576
1878;oil;128240
1879;oil;135568
1880;oil;150224
1881;oil;164880
1882;oil;183200
1883;oil;208848
1884;oil;230832
1885;oil;234496
1886;oil;260144
1887;oil;274800
1888;oil;274893
1889;oil;304112
1890;oil;318768
1891;oil;348187
1892;oil;377392
1893;oil;395839
1894;oil;432352
1895;oil;461664
1896;oil;465464
1897;oil;490976
1898;oil;516624
1899;oil;498167
1900;oil;516624
1901;oil;553264
1902;oil;582576
1903;oil;593568
1904;oil;556802
1905;oil;578912
1906;oil;611888
1907;oil;611767
1908;oil;604560
1909;oil;604560
1910;oil;608224
1911;oil;615552
1912;oil;626544
1913;oil;655856
1914;oil;1103021
1915;oil;538608
1916;oil;465404
1917;oil;318768
1918;oil;14660
1919;oil;1282400
1920;oil;1476348
1921;oil;1293392
1922;oil;1535216
1923;oil;1905280
1924;oil;2103136
1925;oil;2066496
1926;oil;2385009
1927;oil;2868912
1928;oil;2806624
1929;oil;2751420
1930;oil;3099744
1931;oil;3433448
1932;oil;2927277
1933;oil;3114400
1934;oil;2923872
1935;oil;3271952
1936;oil;3649344
1937;oil;4404128
1938;oil;5074640
1939;oil;0
1940;oil;0
1941;oil;0
1942;oil;0
1943;oil;0
1944;oil;0
1945;oil;0
1946;oil;194192
1947;oil;7438531
1948;oil;8818564
1949;oil;9119696
1950;oil;8309952
1951;oil;9922112
1952;oil;10474675
1953;oil;11222832
1954;oil;13663056
1955;oil;15893477
1956;oil;19192032
1957;oil;20021235
1958;oil;23739056
1959;oil;26344160
1960;oil;31100032
1961;oil;33697808
1962;oil;39061904
1963;oil;45475732
1964;oil;55689136
1965;oil;60675840
1966;oil;63812224
1967;oil;64966384
1968;oil;67402944
1969;oil;71422352
1970;oil;85669435
1971;oil;79816576
1972;oil;86107664
1973;oil;87855392
1974;oil;77119872
1975;oil;70590624
1976;oil;83583168
1977;oil;78272115
1978;oil;79369568
1979;oil;89573808
1980;oil;83650848
1981;oil;66911968
1982;oil;57098217
1983;oil;49595904
1984;oil;47485440
1985;oil;46958988
1986;oil;52849536
1987;oil;56081184
1988;oil;53908432
1989;oil;53542032
1990;oil;52012336
1991;oil;54783466
1992;oil;57124557
1993;oil;54447755
1994;oil;55003954
1995;oil;54318041
1996;oil;56049882
1997;oil;55778764
1998;oil;57125145
1999;oil;57677930
2000;oil;57508439
2001;oil;58556642
2002;oil;57662651
2003;oil;59536953
2004;oil;59596492
2005;oil;59338526
2006;oil;58690392
2007;oil;58617424
2008;oil;59070305
2009;oil;55794136
2010;oil;56985969
2011;oil;56399543
2012;oil;54310366
2013;oil;52678547
2014;oil;52206585
2015;oil;51918599
2016;oil;53207885
2017;oil;53008250
2018;oil;53551287
2019;oil;53256723
2020;oil;48409391
1851;other;0
1852;other;0
1853;other;0
1854;other;0
1855;other;0
1856;other;0
1857;other;0
1858;other;0
1859;other;0
1860;other;0
1861;other;0
1862;other;0
1863;other;0
1864;other;0
1865;other;0
1866;other;0
1867;other;0
1868;other;0
1869;other;0
1870;other;0
1871;other;0
1872;other;0
1873;other;0
1874;other;0
1875;other;0
1876;other;0
1877;other;0
1878;other;0
1879;other;0
1880;other;0
1881;other;0
1882;other;0
1883;other;0
1884;other;0
1885;other;0
1886;other;0
1887;other;0
1888;other;0
1889;other;0
1890;other;0
1891;other;0
1892;other;0
1893;other;0
1894;other;0
1895;other;0
1896;other;0
1897;other;0
1898;other;0
1899;other;0
1900;other;0
1901;other;0
1902;other;0
1903;other;0
1904;other;0
1905;other;0
1906;other;0
1907;other;0
1908;other;0
1909;other;0
1910;other;0
1911;other;0
1912;other;0
1913;other;0
1914;other;0
1915;other;0
1916;other;0
1917;other;0
1918;other;0
1919;other;0
1920;other;0
1921;other;0
1922;other;0
1923;other;0
1924;other;0
1925;other;0
1926;other;0
1927;other;0
1928;other;0
1929;other;0
1930;other;0
1931;other;0
1932;other;0
1933;other;0
1934;other;0
1935;other;0
1936;other;0
1937;other;0
1938;other;0
1939;other;0
1940;other;0
1941;other;0
1942;other;0
1943;other;0
1944;other;0
1945;other;0
1946;other;0
1947;other;0
1948;other;0
1949;other;0
1950;other;0
1951;other;0
1952;other;0
1953;other;0
1954;other;0
1955;other;0
1956;other;0
1957;other;0
1958;other;0
1959;other;0
1960;other;0
1961;other;0
1962;other;0
1963;other;0
1964;other;0
1965;other;0
1966;other;0
1967;other;0
1968;other;0
1969;other;0
1970;other;0
1971;other;0
1972;other;0
1973;other;0
1974;other;0
1975;other;0
1976;other;0
1977;other;0
1978;other;0
1979;other;0
1980;other;0
1981;other;0
1982;other;0
1983;other;0
1984;other;0
1985;other;0
1986;other;0
1987;other;0
1988;other;0
1989;other;0
1990;other;1178075
1991;other;1164468
1992;other;1150612
1993;other;1171948
1994;other;1346501
1995;other;1298538
1996;other;1255637
1997;other;1196732
1998;other;1191189
1999;other;1109287
2000;other;1093214
2001;other;1175148
2002;other;1103515
2003;other;1111118
2004;other;1118365
2005;other;1163883
2006;other;1142681
2007;other;1146310
2008;other;1171231
2009;other;1049755
2010;other;1108113
2011;other;1193970
2012;other;1226182
2013;other;1203794
2014;other;1274395
2015;other;1273351
2016;other;1302977
2017;other;1382841
2018;other;1307055
2019;other;1184503
2020;other;1167328
