EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 18-11-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : precipitation amount in 0.1 mm
30-34 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 108974) of NETHERLANDS, AMSTERDAM (STAID: 2358)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   RR, Q_RR
  2358,108974,19320807,    1,    0
  2358,108974,19320808,    0,    0
  2358,108974,19320809,    0,    0
  2358,108974,19320810,    0,    0
  2358,108974,19320811,    4,    0
  2358,108974,19320812,   12,    0
  2358,108974,19320813,    7,    0
  2358,108974,19320814,    0,    0
  2358,108974,19320815,    0,    0
  2358,108974,19320816,    0,    0
  2358,108974,19320817,    0,    0
  2358,108974,19320818,    0,    0
  2358,108974,19320819,    0,    0
  2358,108974,19320820,    0,    0
  2358,108974,19320821,    6,    0
  2358,108974,19320822,    1,    0
  2358,108974,19320823,    1,    0
  2358,108974,19320824,    1,    0
  2358,108974,19320825,    0,    0
  2358,108974,19320826,    0,    0
  2358,108974,19320827,    1,    0
  2358,108974,19320828,    0,    0
  2358,108974,19320829,   16,    0
  2358,108974,19320830,   30,    0
  2358,108974,19320831,   33,    0
  2358,108974,19320901,   70,    0
  2358,108974,19320902,   46,    0
  2358,108974,19320903,  278,    0
  2358,108974,19320904,    2,    0
  2358,108974,19320905,    0,    0
  2358,108974,19320906,    0,    0
  2358,108974,19320907,    0,    0
  2358,108974,19320908,    0,    0
  2358,108974,19320909,    7,    0
  2358,108974,19320910,   11,    0
  2358,108974,19320911,  168,    0
  2358,108974,19320912,    0,    0
  2358,108974,19320913,  104,    0
  2358,108974,19320914,    3,    0
  2358,108974,19320915,    0,    0
  2358,108974,19320916,    0,    0
  2358,108974,19320917,    0,    0
  2358,108974,19320918,   51,    0
  2358,108974,19320919,    2,    0
  2358,108974,19320920,    0,    0
  2358,108974,19320921,    1,    0
  2358,108974,19320922,  117,    0
  2358,108974,19320923,  129,    0
  2358,108974,19320924,   39,    0
  2358,108974,19320925,   28,    0
  2358,108974,19320926,    9,    0
  2358,108974,19320927,    0,    0
  2358,108974,19320928,    0,    0
  2358,108974,19320929,   10,    0
  2358,108974,19320930,   10,    0
  2358,108974,19321001,   99,    0
  2358,108974,19321002,   72,    0
  2358,108974,19321003,   38,    0
  2358,108974,19321004,   22,    0
  2358,108974,19321005,    8,    0
  2358,108974,19321006,    1,    0
  2358,108974,19321007,    0,    0
  2358,108974,19321008,   42,    0
  2358,108974,19321009,  306,    0
  2358,108974,19321010,    1,    0
  2358,108974,19321011,   61,    0
  2358,108974,19321012,    4,    0
  2358,108974,19321013,  235,    0
  2358,108974,19321014,  247,    0
  2358,108974,19321015,   54,    0
  2358,108974,19321016,   67,    0
  2358,108974,19321017,   62,    0
  2358,108974,19321018,   66,    0
  2358,108974,19321019,    5,    0
  2358,108974,19321020,  177,    0
  2358,108974,19321021,  145,    0
  2358,108974,19321022,    0,    0
  2358,108974,19321023,  191,    0
  2358,108974,19321024,    6,    0
  2358,108974,19321025,  130,    0
  2358,108974,19321026,   49,    0
  2358,108974,19321027,   98,    0
  2358,108974,19321028,   22,    0
  2358,108974,19321029,   92,    0
  2358,108974,19321030,  223,    0
  2358,108974,19321031,    2,    0
  2358,108974,19321101,   16,    0
  2358,108974,19321102,    9,    0
  2358,108974,19321103,    1,    0
  2358,108974,19321104,    0,    0
  2358,108974,19321105,    0,    0
  2358,108974,19321106,    0,    0
  2358,108974,19321107,   23,    0
  2358,108974,19321108,  102,    0
  2358,108974,19321109,   10,    0
  2358,108974,19321110,    0,    0
  2358,108974,19321111,    0,    0
  2358,108974,19321112,    0,    0
  2358,108974,19321113,    0,    0
  2358,108974,19321114,    1,    0
  2358,108974,19321115,    0,    0
  2358,108974,19321116,    0,    0
  2358,108974,19321117,    0,    0
  2358,108974,19321118,    2,    0
  2358,108974,19321119,   36,    0
  2358,108974,19321120,   12,    0
  2358,108974,19321121,   24,    0
  2358,108974,19321122,   84,    0
  2358,108974,19321123,   25,    0
  2358,108974,19321124,    9,    0
  2358,108974,19321125,   15,    0
  2358,108974,19321126,   16,    0
  2358,108974,19321127,   34,    0
  2358,108974,19321128,    0,    0
  2358,108974,19321129,    0,    0
  2358,108974,19321130,    0,    0
  2358,108974,19321201,    3,    0
  2358,108974,19321202,   46,    0
  2358,108974,19321203,   23,    0
  2358,108974,19321204,    7,    0
